term,pos,comment,translation_ar,comment_ar,translation_ast,comment_ast,translation_bg,comment_bg,translation_br,comment_br,translation_ca,comment_ca,translation_cs,comment_cs,translation_da,comment_da,translation_de,comment_de,translation_el,comment_el,translation_en_CA,comment_en_CA,translation_en_GB,comment_en_GB,translation_en_US,comment_en_US,translation_eo,comment_eo,translation_es,comment_es,translation_et,comment_et,translation_eu,comment_eu,translation_fa,comment_fa,translation_fi,comment_fi,translation_fr,comment_fr,translation_fy,comment_fy,translation_ga,comment_ga,translation_gd,comment_gd,translation_gl,comment_gl,translation_he,comment_he,translation_hi,comment_hi,translation_hr,comment_hr,translation_hu,comment_hu,translation_ia,comment_ia,translation_id,comment_id,translation_ig,comment_ig,translation_it,comment_it,translation_ja,comment_ja,translation_jv,comment_jv,translation_ka,comment_ka,translation_ko,comment_ko,translation_krl,comment_krl,translation_la,comment_la,translation_lt,comment_lt,translation_mr,comment_mr,translation_ms,comment_ms,translation_nb,comment_nb,translation_nds,comment_nds,translation_nl,comment_nl,translation_nn,comment_nn,translation_oc,comment_oc,translation_pl,comment_pl,translation_pt,comment_pt,translation_pt_BR,comment_pt_BR,translation_ro,comment_ro,translation_ru,comment_ru,translation_rw,comment_rw,translation_si,comment_si,translation_sk,comment_sk,translation_sl,comment_sl,translation_sr,comment_sr,translation_sr_RS,comment_sr_RS,translation_sv,comment_sv,translation_tr,comment_tr,translation_uk,comment_uk,translation_vi,comment_vi,translation_zh_CN,comment_zh_CN,translation_zh_TW,comment_zh_TW
AI,Noun,"GUI. 
""Artificial Intelligence"", a Computer Player.",,,,,ИИ,"Изкуствен интелект, компютърно-управляван противник.",C.U.,,la IA / les IA,,Ul,"Umělá inteligence, počítačový hráč",Kunstig intelligens,,KI,"GUI. ""Künstliche Intelligenz"", die Computergegner.",ΤΝ,,,,,,,,,,IA,"GUI. ""Inteligencia Artificial"", un jugador controlado por el ordenador.",,,,,,,,Tekoäly,IA,,,,,,IF,"Inntinn fhuadain, inntinn boir. gin. -e, iol. -ean",,,,,,,AI,,MI,Mesterséges Intelligencia,,,,,,,,IA,AI,,,,,,,,,,,,,,,,,,,,künstelk Speler,,AI,,,,,,SI,,IA (inteligência artificial),,,,IA,Inteligență Artificială,ИИ,Искусственный интелект,,,,,AI,ženský rod (inteligencia),UI,,,,,,AI,,,,,,,,AI,,,
Actions,Noun,,,,,,,,,,Accions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,행동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add-Ons,Noun,,,,,,,,,,Complements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,추가기능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Shield,Noun,Ware - Armor -Atlanteans,,,,,Подобрен щит,,,,Escut millorat,,vylepšený štít,,Avanceret skjold,,Verbesserter Schild,,Προηγμένη Ασπίδα,,,,,,,,,,Escudo Avanzado,Mercancía - Armadura - Atlantes,,,,,,,,Ritarikilpi,Bouclier avancé,,,,,,sgiath adhartach,sgèithe adhartaich | sgiathan adhartach,,,,,,,Poboljšani štit,,Fejlesztett pajzs,,,,,,,,Scudo avanzato,,アドバンストシールド,,,,,,,,,,scutum melius,,,,,,,,Avansert skjold,,Goder Schild,,Verbeterd Schild,,,,,,Zaawansowana tarcza,,escudo de guerra,,Escudo Avançado,,Scut avansat,,Улучшенный щит,,,,,,vylepšený štít,,Napreden ščit,,,,,,Avancerad sköld,,,,покращений щит,,,,高级护盾,,,
Advanced Spear,Noun,Ware - Weapon - Empire. Replaces Advanced Lance.,,,,,Подобрено копие,,,,Llança millorada,,vylepšený oštěp,,Avanceret spyd,,Verbesserter Speer,,Προηγμένο Ακόντιο,,,,,,,,,,Lanza Avanzada,"Mercancía - Arma - Imperio. Reemplaza ""Advanced Lance"".",,,,,,,,,Lance avancée,,,,,,sàr-shleagh,sàr-slèigh | sàr-shleaghan,,,,,,,Poboljšani harpun,,Fejlesztett lándzsa,,,,,,,,Lancia avanzata,,鋼槍,穂先が鋼,,,,,,,,,,,,,,,,,,,Gode Pieke,,Verbeterde Speer,,,,,,Długa włócznia,,lança avançada,,Lança Avançada,,Suliță avansată,,Улучшенное копье,,,,,,vylepšená kopija,,Napredno kopje,,,,,,Avancerat spjut,,,,покращений спис,,,,高级长枪,,,
Ajanthul,Noun,Character - Atlanteans,,,,,Аджантул,,Ajanthul,Tudenn,Ajanthul,,,,Ajanthul,,Ajanthul,,Άτζανθουλ,,,,,,,,Ajanthul,,Ajanthul,Personaje - Atlantes,,,,,,,,,Ajanthul,,,,,,Ajanthul,,,,,,,,,,Ajanthul,,,,,,,,,,アジャンスール,,,,,,아잔툴,,,,,,,,,,,,,,Ajanthul,,Ajanthul,,,,,,,,Ajanthul,,,,Ajanthul,,Аджантул,Персонаж — Атланты,,,,,Ajanthul,,,,,,,,Ajanthul,,,,,,,,,,,
Al’thunran,Noun,Placename,,,,,Ал'тунран,,Al’thunran,Anv lec'h,Al'thunran,,Al’thunran,,Al'thunran,,Al’thunran,,πρωτεύουσα,,,,,,,,,,Al'thunran,Nombre de lugar,,,,,,,,,Al’thunran,,,,,,Al’tùnran,Al’tùnrain|,,,,,,,,,Al’thunran,,,,,,,,,,アル-サンラン,(保留),,,,,알'툰란,,,,,,,,,,,,,,Alltunraan,,Al'thunran,,,,,,Al’thunran,,Al’thunran,,,,Al’thunran,,Ал'тунран,Топоним,,,,,Al’thunran,,,,,,,,Al’thunran,,,,,,,,,,,
Amalea,Noun,Character - Empire,,,,,Амалея,,Amalea,tudenn,Amalea,,Amalea,,Amalea,,Amalea,,Αμαλία,,,,,,,,,,Amalea,Personaje - Imperio,,,,,,,,,Amalea,,,,,,Amalea,,,,,,,,,,Amalea,,,,,,,,,,アマリア,,,,,,아말리아,,,,,,,,,,,,,,Amalee',,Amalea,,,,,,Amalea,,Amalea,,,,Amalea,,Амалия,Персонаж — Империя,,,,,Amalea,,,,,,,,Amalea,,,,,,,,,,,
Amazons,Noun,Tribe,,,,,,,,,Amazones,,Amazonky,,,,Amazonen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aqua Farm,Noun,Production Building - Frisians,,,,,Водна ферма,,,,Granja aqüícola,,vodní statek,,Vandlandbrug,,Fischzucht,,Ιχθυοκαλλιέργεια,,,,,,,,,,Granja Marina,Edificio de producción - Frisios,,,,,,,,Vesiviljelmä,Pisciculture,,,,,,tuathanas-uisge,thuathanas-uisge | tuathanasan-uisge | thuathanas-uisge,,,,,,,,,,,,,,,,,,,養殖場,,,,,,양어장,,,,,,,,,,,,,,Fissbuurderee,,Visteler,,,,,,Hodowla ryb,,Piscicultura,,Fazenda Aquática,,,,Акваферма,,,,,,,,,,,,,,,,,,,,,,,,,
